,correlation,p_value,category
bc_difficulty,0.8207446699614072,0.0,OnChain
bc_hash_rate,0.8088124530313046,0.0,OnChain
google_trends_btc,0.6713469164991288,2.0080482156854807e-229,Sentiment
bc_miners_revenue,0.6470289162045298,6.6990834188608654e-208,OnChain
bc_total_bitcoins,0.606449749408099,4.516700770343445e-176,OnChain
GDP,0.5770344490433494,9.971729938819518e-156,Macro
CPIAUCSL,0.5115938837084765,3.341891939289752e-117,Macro
bc_n_unique_addresses,-0.4825426589929176,1.2539323719129805e-102,OnChain
cm_diffmean,0.4749036647000979,5.0432175816359646e-99,OnChain
Volume,0.4582564208953378,1.7691857135851904e-91,Volume
cm_txcnt,0.45038605444311375,4.6979275790966987e-88,OnChain
M2SL,0.44801222601564883,4.865810066727896e-87,Macro
cm_hashrate,0.4441936505837409,2.011401413805783e-85,OnChain
fear_greed_index,0.42421578436414037,2.6951256071803084e-77,Sentiment
cm_isstotusd,0.3930160187151907,1.181686109624895e-65,OnChain
cm_adractcnt,-0.38604057078813725,3.2295987628564075e-63,OnChain
T10Y2Y,0.34854740314093413,4.2630895383095156e-51,Macro
bc_n_transactions,0.34071622799803375,9.159427209446354e-49,OnChain
cm_txtfrvaladjusd,0.33940533451930743,2.2169497815382837e-48,OnChain
DGS10,0.33392279043834566,8.536894444160789e-47,Macro
DEXUSEU,0.2795105618348115,9.767600392403393e-33,Macro
cm_txtfrvalmeanusd,0.2678891813427616,4.123668048368707e-30,OnChain
VIXCLS,-0.2674606395370683,5.124642125819803e-30,Macro
DTWEXBGS,0.2631164173037922,4.53652104863118e-29,Macro
DFF,0.21686030414412638,4.748823424806734e-20,Macro
UNRATE,0.17685039421398155,9.516910268665626e-14,Macro
bc_transaction_fees,-0.14670535205580829,7.155992973341392e-10,OnChain
bc_mempool_size,-0.087986413758702,0.00023037376808680287,OnChain
cm_feetotusd,-0.05022677455565608,0.03575005636637743,OnChain
