,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA5_close,EMA10_close,EMA14_close,EMA20_close,EMA30_close,EMA100_close,EMA200_close,EMA100_volume,EMA200_volume,SMA5_close,SMA10_close,SMA20_close,SMA30_close,market_cap_approx,EMA5_marketcap,EMA10_marketcap,EMA14_marketcap,EMA20_marketcap,EMA30_marketcap,EMA100_marketcap,EMA200_marketcap,SMA5_marketcap,SMA10_marketcap,SMA20_marketcap,SMA30_marketcap,RSI,MACD,MACD_signal,MACD_diff,BB_high,BB_low,BB_mid,BB_width,ATR,OBV,Stoch_K,Stoch_D,ADX,CCI,Williams_R,ROC,MFI,daily_return,cumulative_return,volatility_20d,volume_change,QQQ,SPX,UUP,EURUSD,GOLD,SILVER,OIL,BSV,DGS10,DFF,CPIAUCSL,UNRATE,M2SL,GDP,DEXUSEU,DTWEXBGS,T10Y2Y,VIXCLS,fear_greed_index,google_trends_btc,bc_market_price,bc_hash_rate,bc_difficulty,bc_n_transactions,bc_n_unique_addresses,bc_total_bitcoins,bc_market_cap,bc_miners_revenue,bc_transaction_fees,bc_mempool_size,cm_adractcnt,cm_txcnt,cm_txtfrvaladjusd,cm_txtfrvalmeanusd,cm_hashrate,cm_isstotusd,cm_feetotusd,cm_diffmean
Open,1.0,0.9992705504646723,0.9989394480984165,0.9984631487031019,0.4920540077364862,,,0.999298975897531,0.9980510281264584,0.9968351708899291,0.9948736259377908,0.9914138428360968,0.9695818163997734,0.9477020674414516,0.6046465191698421,0.5408173104179695,0.9991143023768397,0.9970890712137751,0.9927881558651357,0.9882945923425218,0.8065597676099479,0.8784416453856302,0.8971990754935292,0.9047601030776727,0.9113797273066785,0.9166860861368717,0.9171895482326115,0.899983160744909,0.8748623488950976,0.8918180956475215,0.904044404791938,0.9081931571231482,0.17922927687362689,0.3142898454849041,0.33574574337501084,-0.014937798795991561,0.9914083944117564,0.985402625633212,0.9927881558651357,-0.17627542346888475,0.7247044249291819,0.6446206729854093,0.12780083115794805,0.15319204805207484,-0.16026196175312385,0.08924975374455996,0.12780083115794816,0.09674181800009976,0.07353036314336027,-0.016872211082737405,0.9984631487031016,-0.23015498564760842,0.033002455620318345,0.9185404295996342,0.9188284505095554,0.4923600684676496,0.3117410206961633,0.8902526405610746,0.8855447036238456,-0.49668143359747813,0.9109855522183533,0.32295951204722023,0.20290223431213464,0.509518089231713,0.23261073713314112,0.45654500098497175,0.5764816279337144,0.3156238251226173,0.25018468365464,0.36964715082632515,-0.2550006877205781,0.4530752917343209,0.6743711523647496,0.9999974779643073,0.8074313302972489,0.8195082409622425,0.3371682276262899,-0.4798527041936792,0.6054906492555227,0.9984260659420554,0.6488450095559485,-0.1362835459613004,-0.08856256490348575,-0.3863968664654782,0.44963753854856947,0.3409963140997998,0.26985301965780223,0.4440474145886777,0.3908686561575322,-0.05195941038371198,0.47568806762594795
High,0.9992705504646723,1.0,0.9986641723202175,0.9993292781256965,0.5027881371526292,,,0.9992169205491379,0.9978100504290414,0.9965497600027723,0.9945489352454087,0.9910429750949504,0.968937870448827,0.9466574136194482,0.6087926438719465,0.5445918812995545,0.998847652690109,0.9967607334962193,0.9924581562767183,0.9879110281318056,0.8131874897786265,0.8815271112138077,0.8991428750443378,0.906256670944732,0.912476998913661,0.9174313676270729,0.9173735964398636,0.8997733295707476,0.8768734611743235,0.8932480105176983,0.9045739509818449,0.9084683203914741,0.1871164727682566,0.3156193911133979,0.3362272902094244,-0.011849983161014056,0.9918739292833444,0.9841943755976423,0.9924581562767183,-0.16891519652457235,0.7324016438829211,0.6489810848688626,0.13770565974233767,0.15653592580032138,-0.1574473863857064,0.0968818881826276,0.13770565974233767,0.10304422603702837,0.07685618607782271,0.009367363585848845,0.9993292781256965,-0.22044427895132304,0.04096900561674283,0.9173544781256183,0.9174365164619125,0.4886733563694021,0.31497753634413655,0.8874344977720353,0.8841683380737918,-0.4987684215513694,0.9125311337944564,0.3179584866407963,0.19855602728806923,0.5043782353004076,0.23931857009806895,0.4511479081453304,0.5718586045982187,0.31901726829635624,0.2468895416102931,0.3752109125394044,-0.2542511690659544,0.4527214174826722,0.6750569326734882,0.9992706207216394,0.8044338561013722,0.8167100009572048,0.3349915306749003,-0.4754342452304262,0.6013375728174402,0.9976443165874083,0.6518775440146899,-0.13458482931718566,-0.08727232733127191,-0.3815352892187546,0.446084715258715,0.33950069586257015,0.26890926756603833,0.4405911723741723,0.3888828450007578,-0.04993287145831314,0.47180505695502256
Low,0.9989394480984165,0.9986641723202175,1.0,0.9991805788086221,0.4745248299405247,,,0.9987189607488329,0.9970811464251158,0.9957243186111782,0.9936459572450775,0.9900975978262334,0.968575277951597,0.947401589449591,0.5962542944465519,0.5329147025408296,0.9982939013790149,0.9959093829003451,0.9914110603934965,0.9868874452978303,0.7971221637146039,0.8728065935374575,0.8926637084499566,0.9006268424127412,0.9075763057392614,0.9131315241125423,0.914064709204748,0.8975349670856055,0.8701571142546501,0.8878867792933777,0.9008778256501445,0.9051784179135475,0.19198933846630004,0.3178916237419055,0.33652434448244023,-0.004807527636347102,0.9892439692980953,0.9849100195325695,0.9914110603934965,-0.18353134970994642,0.7127177861390348,0.6406069963674663,0.14207736355745715,0.1600515329133776,-0.1641583100426771,0.10342456127606163,0.1420773635574573,0.10722822815094873,0.08106369635980533,0.011342122831050518,0.9991805788086249,-0.24129675967378042,0.020950865385572878,0.9210795754773392,0.9214744888054686,0.49798740103378625,0.30724246048539267,0.893876086887372,0.8866497397050179,-0.49535725407513975,0.9092284152212318,0.3306712534647049,0.21069039557032768,0.5172608303521039,0.22394499344374164,0.46177004634155383,0.5838345632752365,0.31123017188774693,0.25523072847608375,0.361231691834952,-0.26133609753711107,0.45390277106677523,0.673731481686384,0.9989404350873718,0.8118297594889637,0.823747769833927,0.34216882822161326,-0.4854633062019787,0.6122418984158894,0.9976399794981039,0.6443983764378922,-0.1397172844243304,-0.08810017083750946,-0.39064712014899067,0.45351217036805713,0.33980103682494656,0.2677399719756645,0.4465146405498339,0.39466368879297203,-0.05124988173094778,0.47777255091375614
Close,0.9984631487031019,0.9993292781256965,0.9991805788086221,1.0,0.4902979585076743,,,0.998862140846268,0.9971839030613441,0.9958266850513873,0.9937430909958263,0.9901689579185372,0.9682688109047918,0.9465187958299179,0.602848661387307,0.5390128309967497,0.9982935417789586,0.9960047162345805,0.9915480176674459,0.9869875605558563,0.8066171877850701,0.8775279600646613,0.895936870116816,0.903361047600213,0.9098469018963625,0.9150106099497809,0.9153331139426115,0.8982703723728993,0.8735060058173335,0.8904234574841817,0.9024613749394809,0.9064996284660941,0.19672743956050381,0.3182147350215572,0.3369536016318272,-0.005105129342537908,0.9903827159760215,0.983936065150804,0.9915480176674459,-0.1740817175582045,0.7232249487691498,0.6462571002544619,0.15011141233593028,0.16148812915402477,-0.15978498831668225,0.1055228033524145,0.1501114123359303,0.11120997678438807,0.08148970634166604,0.033103549767910176,0.9999999999999996,-0.22928319251426774,0.03204306634093763,0.9192293279472826,0.9193197246463335,0.4927374162026977,0.3120454000387544,0.8905368378766376,0.8854466114774232,-0.4982353031306774,0.9113718963365737,0.32380569707535567,0.20448929017760392,0.5101948726875808,0.23311908235145812,0.4548514015089523,0.5773305707437298,0.3161442080079647,0.2503806129425668,0.3689534043943546,-0.2590081943917362,0.4528887195796918,0.6746567119120481,0.9984619190624388,0.80789053768291,0.8201136003897684,0.3381481355207062,-0.4801088776441431,0.6064017719619101,0.9970872354904537,0.6485208222654009,-0.13656345002960882,-0.08684034949495395,-0.3855056275363923,0.4498083827462033,0.3389508698308869,0.26752518944311304,0.44363026757136864,0.39250587770997575,-0.05010595401695397,0.4743519468129072
Volume,0.4920540077364862,0.5027881371526292,0.4745248299405247,0.4902979585076743,1.0,,,0.4924566119217999,0.49084818272351555,0.4884567708563254,0.48439118190743535,0.4775294572324879,0.44600075102081344,0.4354403517204779,0.6404353944673684,0.5724754290020185,0.4932712889257576,0.4919707370521639,0.48393536834892503,0.4746018851710341,0.8481537508181718,0.7412107474482823,0.6948134785050043,0.6741315690204007,0.6530910508725185,0.6298703292018685,0.5600719125704061,0.5252622203161786,0.6987262686191401,0.6648683638790901,0.62021363219529,0.598771952754036,0.11275301181429856,0.26921162579601504,0.2972994139050058,-0.04538497368125237,0.5068193009675335,0.45424175622446866,0.48393536834892503,0.17530727286201042,0.5497733836844894,0.5687996662811535,0.05673844246760396,0.08955587713292323,-0.014701093807279198,0.04526436171737689,0.05673844246760395,0.06897170480563566,0.03502427022425212,-0.02516814785447939,0.49029795850767427,0.19152535499655618,0.3715094575976966,0.3193178996794748,0.32394310700819245,0.04996822724122564,0.2749256645907603,0.3300763008452485,0.4051085031150521,-0.32547340616230896,0.4620440748837812,-0.07192134027231963,-0.16720880681287906,-0.015727606774715908,0.4190360909449167,0.09455268857924913,0.017900005561726835,0.2768529762421806,-0.020395541558520292,0.436051759917502,0.047043442433901,0.23575391565497894,0.2560716941476632,0.4918269837666161,0.23963989231087976,0.24874061371216447,-0.0473140354938231,0.04639801940221071,0.04496318878742187,0.48499884739598736,0.41451422663613396,0.01414258515044894,-0.15003562291286512,-0.164596811567275,0.2468668270112012,0.31692268011046887,0.2840175381578316,0.2562286253231866,0.23560323219942506,0.03000726534798486,0.2851288616687514
Dividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMA5_close,0.999298975897531,0.9992169205491379,0.9987189607488329,0.998862140846268,0.4924566119217999,,,1.0,0.9994230702369825,0.9985307234320415,0.9968801478817971,0.9937215196866811,0.9723061891564322,0.9503636203436159,0.6072302214534782,0.5433367924525725,0.9998816232314364,0.9988372748476022,0.9951450982876399,0.9908591258307745,0.8066232508234612,0.8791777857657191,0.8986139666942089,0.9065203417217249,0.9134921755648152,0.9191643554986128,0.9202872009683786,0.9030209098833908,0.8755503472874365,0.8935884773650437,0.9065118655908427,0.9109565972381914,0.16701818105606453,0.30414116308150285,0.3305009444550158,-0.03324108271499406,0.993457544937011,0.9880793469440513,0.9951450982876399,-0.17923608503611607,0.7277371306157522,0.6440800435129226,0.1166088295664016,0.13619009380693134,-0.16169330834173035,0.07332266044424844,0.11660882956640169,0.08395169933820473,0.061380967960980415,0.0006009806579604017,0.9988621408462688,-0.2302729604132316,0.0330268448757021,0.9193934781912261,0.9198617089666796,0.49292495711121087,0.3114267601743139,0.891530547610687,0.8869279071190551,-0.4959843973398526,0.9122205762381003,0.32289897806834394,0.20200389703702148,0.5099538561996303,0.23251986090401966,0.4590247891165566,0.5768663433601517,0.31545858904399426,0.25086003082593966,0.370826798521031,-0.2524259931096686,0.4410064374732357,0.6753279795900725,0.9992920309970933,0.8082017311742924,0.8204198572117422,0.3357922289803296,-0.4834434590348972,0.6058735978142763,0.9987096046505674,0.6462968089569664,-0.13726837494376046,-0.09023478296543347,-0.3896437540439065,0.4515117650576467,0.3395191821600439,0.2677907260065046,0.4459963576266545,0.3920096724212563,-0.054672608752256366,0.47683514926201404
EMA10_close,0.9980510281264584,0.9978100504290414,0.9970811464251158,0.9971839030613441,0.49084818272351555,,,0.9994230702369825,1.0,0.9997715531095649,0.9988439631144327,0.9964717458744797,0.9764029536273552,0.9544517954466253,0.6115701585514841,0.547961766353945,0.9993284904808905,0.9997715408006866,0.9977796450269102,0.9942824247032697,0.8038543801832182,0.8775836572595608,0.8984106335757424,0.9071593617813936,0.9150870393001663,0.921844306267882,0.925097926217623,0.9079484164704822,0.8740453743236232,0.8938190435834127,0.908913606135938,0.9145660328928097,0.1391288373115593,0.2796002238159381,0.31320111184245375,-0.06200322982898198,0.9954035253737926,0.9914529638099547,0.9977796450269102,-0.18478934245684428,0.7326060456876319,0.6409952665805144,0.09105311528649147,0.10901516130127613,-0.16534228824789374,0.046067942673666276,0.09105311528649163,0.055196934384152,0.036067292859107335,-0.006725505325859219,0.9971839030613442,-0.2290591121748061,0.033033237038050695,0.9192972638674569,0.9201879764569874,0.49274345853454693,0.3105929369061715,0.8923283945210442,0.888093775763022,-0.492887138450873,0.9130021840456488,0.3215306796495505,0.19895207731907388,0.5094877375975865,0.231714465917521,0.46409214182296143,0.576109881250712,0.31468881706309604,0.2513376755676526,0.37310704668810196,-0.245917661547563,0.42242998634002304,0.6751983919054438,0.9980397026739616,0.8078517463981834,0.8203115053956744,0.33292227988004247,-0.48831341579523246,0.6049971974473972,0.9979455636901774,0.6411457900653642,-0.1384178255100273,-0.09405865170064802,-0.392593670745012,0.45424520034607174,0.33880383638924433,0.2662530665991308,0.4484238744636713,0.39271893626504095,-0.05802738246830891,0.47830995217161454
EMA14_close,0.9968351708899291,0.9965497600027723,0.9957243186111782,0.9958266850513873,0.4884567708563254,,,0.9985307234320415,0.9997715531095649,1.0,0.9996298881232006,0.9979327307184959,0.9792938871986117,0.957499108965553,0.614372927143394,0.5512616979861334,0.9983947805584257,0.999612234040776,0.9989254166360462,0.9962521791079905,0.8010891270619821,0.875268662237979,0.8969517542553263,0.9063174014737372,0.9150226056873392,0.9227514136088649,0.928272860654986,0.9114797503558811,0.8717230211048442,0.8924791391313236,0.9093325537837946,0.9162229747672151,0.12161636540157961,0.26021519089417433,0.2968526519680956,-0.07571626146133265,0.99608079059633,0.9931074123939638,0.9989254166360462,-0.18804018293545574,0.7356475729656607,0.6386689032487773,0.07777572679194196,0.09387944210986794,-0.16857780742120487,0.031306737745636415,0.07777572679194206,0.03814894524109756,0.019747923149794504,-0.009150588316497177,0.9958266850513876,-0.22719870741690376,0.03277844430112986,0.9191823973988852,0.920392443710871,0.49242269413165185,0.31021135967141644,0.893025693008824,0.8890672249736058,-0.4902470364514032,0.9137027288937227,0.32031380749517807,0.1965110884472328,0.5091175470994007,0.23114412969618156,0.46812127196242204,0.575503970497752,0.3143667341108542,0.25150861079775944,0.37494285676166844,-0.24138730087494392,0.4087324395071949,0.6746561774989174,0.996822045149768,0.8074350698082198,0.8201204874044155,0.3309978762952724,-0.4921955801354359,0.6042671217081196,0.9969377858205822,0.6366502272240088,-0.1397976280387762,-0.0969392595199264,-0.39413322740064305,0.45635781158235356,0.3386695807402989,0.26548409782588556,0.450055329045398,0.3933929044460177,-0.05956582456445152,0.4794326218015008
