Feature,Coefficient,Abs_Coefficient,SHAP_Importance
SPX,1723.3744304140846,1723.3744304140846,7124.598556202206
bc_miners_revenue,1684.3009953469902,1684.3009953469902,1121.0277150760296
QQQ,1651.8888074714657,1651.8888074714657,5744.966189868688
OBV,1267.665206008047,1267.665206008047,1239.0963217878846
fear_greed_index,982.4205107059207,982.4205107059207,764.7081185495362
ATR,930.9976890122806,930.9976890122806,1224.4491399841916
BSV,891.4592348686165,891.4592348686165,2400.053278517676
GOLD,881.8910601836693,881.8910601836693,6365.390924566009
M2SL,843.0112668128529,843.0112668128529,1056.5047333433633
SMA30_marketcap,833.3241836394192,833.3241836394192,2711.5662105535275
EMA200_marketcap,792.6934310932382,792.6934310932382,2778.5197357358065
T10Y2Y,789.7367112532013,789.7367112532013,338.0284831536091
EMA100_marketcap,752.6894481541927,752.6894481541927,2649.5523752592517
EMA30_marketcap,739.3619197299819,739.3619197299819,2460.313813911376
SMA20_marketcap,705.2106024884166,705.2106024884166,2282.995573681016
EMA20_marketcap,658.9231014816404,658.9231014816404,2165.517258375849
volatility_20d,-600.1931824673975,600.1931824673975,456.00406646795665
EMA14_marketcap,583.1826423385486,583.1826423385486,1898.50847617355
Volume,-581.5347970845729,581.5347970845729,605.0868823665451
MACD,532.7834086019558,532.7834086019558,519.1967117627678
MACD_signal,525.020405737691,525.020405737691,502.1673818889274
EMA10_marketcap,523.2587541926752,523.2587541926752,1687.5348897847173
bc_difficulty,512.5039820725248,512.5039820725248,1703.7634774465068
market_cap_approx,507.2531871393337,507.2531871393337,1436.5551091117359
DFF,-497.4990166417058,497.4990166417058,352.75254242137163
SMA10_marketcap,474.8531189369667,474.8531189369667,1520.763181541001
EMA5_marketcap,461.6348042393309,461.6348042393309,1452.638605376
EMA100_volume,-423.16915577905655,423.16915577905655,438.1339987936057
SMA5_marketcap,421.4922570209092,421.4922570209092,1326.175749595585
UNRATE,-399.97580741779626,399.97580741779626,57.28300818811406
bc_hash_rate,368.14047527283526,368.14047527283526,1199.6452272699648
bc_transaction_fees,-362.989303508416,362.989303508416,221.72355092770903
bc_n_transactions,347.4201710723092,347.4201710723092,474.04764147197284
OIL,329.41178603305843,329.41178603305843,255.043522103592
RSI,305.982695368262,305.982695368262,212.33994585745776
SILVER,289.5993977761184,289.5993977761184,1266.66610720553
daily_return,262.8874895579935,262.8874895579935,142.66165801830633
EMA200_volume,-262.7133956203965,262.7133956203965,243.60742715426426
ADX,-227.34874864230025,227.34874864230025,185.73284006623868
GDP,222.02670307015504,222.02670307015504,414.11781679126324
bc_n_unique_addresses,-206.0063061525467,206.0063061525467,375.5254101137408
DGS10,-199.8201655469411,199.8201655469411,193.221178390408
bc_total_bitcoins,195.95058910540962,195.95058910540962,378.9543698810763
EURUSD,184.11791043932524,184.11791043932524,116.79584588255041
DEXUSEU,182.5809620883099,182.5809620883099,116.72654982549982
Stoch_K,151.48221664137307,151.48221664137307,127.72400577917367
Williams_R,151.48167493677192,151.48167493677192,127.72354903502524
ROC,141.68253242984204,141.68253242984204,74.84081973619973
MACD_diff,120.61694799039165,120.61694799039165,135.3661617203376
google_trends_btc,-117.6597508427443,117.6597508427443,213.84056928827462
DTWEXBGS,-92.21322732628343,92.21322732628343,99.94559290548658
MFI,-70.51270106009629,70.51270106009629,52.57410605318033
UUP,68.29159516781272,68.29159516781272,113.21732860975919
VIXCLS,46.86702307773239,46.86702307773239,35.571068287261696
Stoch_D,39.68821127042055,39.68821127042055,33.83866580445695
bc_mempool_size,37.64983871923546,37.64983871923546,21.756659549035135
CCI,35.156659379334805,35.156659379334805,28.597207108462367
volume_change,24.46910364987953,24.46910364987953,22.660044170871515
CPIAUCSL,5.4875703919174414,5.4875703919174414,8.73059124353616
