Feature,Coefficient,Abs_Coefficient,SHAP_Importance
bc_miners_revenue,1064.929568575059,1064.929568575059,708.7899159797487
ETH,934.9221215988385,934.9221215988385,978.3096507120742
Price_MA200,839.254393294604,839.254393294604,3482.4775808991917
OBV,793.4465345750141,793.4465345750141,775.5649345486593
NVT_Ratio,792.9553109577729,792.9553109577729,1466.098583794203
fear_greed_index,750.4020932752373,750.4020932752373,584.1068734322405
Hash_Price,736.395964528746,736.395964528746,654.9049090142423
QQQ,692.1835132694536,692.1835132694536,2407.2872598516146
NVT_Ratio_MA90,667.5776557447725,667.5776557447725,1157.671758044267
Difficulty_Compression,652.2542488975951,652.2542488975951,225.2367802346652
SPX,606.0923201470655,606.0923201470655,2505.6449677087753
volatility_20d,-520.110265440237,520.110265440237,395.16009674994865
SMA30_marketcap,508.84659699288335,508.84659699288335,1655.743665970554
Price_to_MA200,503.48841742897423,503.48841742897423,240.4573608739226
MACD_signal,499.0337240968159,499.0337240968159,477.3118453403172
MACD,485.34150534755776,485.34150534755776,472.9646411468954
T10Y3M,466.776489211782,466.776489211782,150.09771460932853
bc_n_transactions,460.50941407895135,460.50941407895135,628.355575745575
Hash_Price_MA90,455.3593526329613,455.3593526329613,408.5090767462497
SMA20_marketcap,453.2847327574667,453.2847327574667,1467.4297789212217
Hash_Ribbon_Spread,449.39654697477386,449.39654697477386,187.94950608836646
T10Y2Y,449.14637262867586,449.14637262867586,192.24668790272293
EMA30_marketcap,447.3073545744747,447.3073545744747,1488.467872304875
Volume,-406.073924230549,406.073924230549,422.5198664892236
EMA20_marketcap,402.0881498815055,402.0881498815055,1321.4422532749466
EMA100_marketcap,394.8322498612125,394.8322498612125,1389.8543788731638
Total_BTC_ETF_Volume,-377.7779296146568,377.7779296146568,1263.8403172327085
ATR,370.65094021305157,370.65094021305157,487.48050648729
BSV,367.9088415031565,367.9088415031565,990.5117213524943
EMA14_marketcap,355.2974623103863,355.2974623103863,1156.6449252576356
HYG,354.4823447123958,354.4823447123958,1146.7582342784217
GLD,354.30232038013247,354.30232038013247,2585.783404482182
GOLD,350.6669306080743,350.6669306080743,2531.074639959695
EMA200_marketcap,339.2400978053798,339.2400978053798,1189.0918606518949
BAMLH0A0HYM2,-336.0236962989105,336.0236962989105,447.172644390692
RRPONTSYD,-318.1407159994611,318.1407159994611,515.8694597130878
DIA,316.0926378961153,316.0926378961153,1246.8939174281327
EMA10_marketcap,315.30869381279115,315.30869381279115,1016.885847772368
market_cap_approx,312.20412405654037,312.20412405654037,884.1707472130333
ADX,-289.72100213691647,289.72100213691647,236.68792933797718
BAMLC0A0CM,-284.6332120457086,284.6332120457086,373.44832126007844
SMA10_marketcap,282.8322823345017,282.8322823345017,905.7978233109486
EMA5_marketcap,271.1046320890102,271.1046320890102,853.0922084994745
bc_mempool_size,261.5709842960904,261.5709842960904,151.15365820487682
DFF,-259.5477489805669,259.5477489805669,184.03278251819506
daily_return,254.50104316273632,254.50104316273632,138.11056907283904
IWM,253.45020416465084,253.45020416465084,399.1377262458506
Hash_Ribbon_MA30,251.8457642762078,251.8457642762078,837.504380782462
SOFR,-250.48731506689938,250.48731506689938,184.56335190725312
Miner_Revenue_to_Cap,-250.3412451244864,250.3412451244864,890.5661088840495
SMA5_marketcap,248.7259786283889,248.7259786283889,782.5870004891592
RSI,246.14998312941233,246.14998312941233,170.81839882352705
FBTC_Price,239.44830762588956,239.44830762588956,2007.8229148861137
bc_difficulty,239.38924327893278,239.38924327893278,795.8233767137549
ARKB_Price,239.37608073253435,239.37608073253435,2004.2969820743356
