Feature,Coefficient,Abs_Coefficient
bc_miners_revenue,1064.929568575059,1064.929568575059
ETH,934.9221215988385,934.9221215988385
Price_MA200,839.254393294604,839.254393294604
OBV,793.4465345750141,793.4465345750141
NVT_Ratio,792.9553109577729,792.9553109577729
fear_greed_index,750.4020932752373,750.4020932752373
Hash_Price,736.395964528746,736.395964528746
QQQ,692.1835132694536,692.1835132694536
NVT_Ratio_MA90,667.5776557447725,667.5776557447725
Difficulty_Compression,652.2542488975951,652.2542488975951
SPX,606.0923201470655,606.0923201470655
volatility_20d,-520.110265440237,520.110265440237
SMA30_marketcap,508.84659699288335,508.84659699288335
Price_to_MA200,503.48841742897423,503.48841742897423
MACD_signal,499.0337240968159,499.0337240968159
MACD,485.34150534755776,485.34150534755776
T10Y3M,466.776489211782,466.776489211782
bc_n_transactions,460.50941407895135,460.50941407895135
Hash_Price_MA90,455.3593526329613,455.3593526329613
SMA20_marketcap,453.2847327574667,453.2847327574667
Hash_Ribbon_Spread,449.39654697477386,449.39654697477386
T10Y2Y,449.14637262867586,449.14637262867586
EMA30_marketcap,447.3073545744747,447.3073545744747
Volume,-406.073924230549,406.073924230549
EMA20_marketcap,402.0881498815055,402.0881498815055
EMA100_marketcap,394.8322498612125,394.8322498612125
Total_BTC_ETF_Volume,-377.7779296146568,377.7779296146568
ATR,370.65094021305157,370.65094021305157
BSV,367.9088415031565,367.9088415031565
EMA14_marketcap,355.2974623103863,355.2974623103863
HYG,354.4823447123958,354.4823447123958
GLD,354.30232038013247,354.30232038013247
GOLD,350.6669306080743,350.6669306080743
EMA200_marketcap,339.2400978053798,339.2400978053798
BAMLH0A0HYM2,-336.0236962989105,336.0236962989105
RRPONTSYD,-318.1407159994611,318.1407159994611
DIA,316.0926378961153,316.0926378961153
EMA10_marketcap,315.30869381279115,315.30869381279115
market_cap_approx,312.20412405654037,312.20412405654037
ADX,-289.72100213691647,289.72100213691647
BAMLC0A0CM,-284.6332120457086,284.6332120457086
SMA10_marketcap,282.8322823345017,282.8322823345017
EMA5_marketcap,271.1046320890102,271.1046320890102
bc_mempool_size,261.5709842960904,261.5709842960904
DFF,-259.5477489805669,259.5477489805669
daily_return,254.50104316273632,254.50104316273632
IWM,253.45020416465084,253.45020416465084
Hash_Ribbon_MA30,251.8457642762078,251.8457642762078
SOFR,-250.48731506689938,250.48731506689938
Miner_Revenue_to_Cap,-250.3412451244864,250.3412451244864
SMA5_marketcap,248.7259786283889,248.7259786283889
RSI,246.14998312941233,246.14998312941233
FBTC_Price,239.44830762588956,239.44830762588956
bc_difficulty,239.38924327893278,239.38924327893278
ARKB_Price,239.37608073253435,239.37608073253435
BITB_Price,238.95488251554715,238.95488251554715
IBIT_Price,238.85747286955106,238.85747286955106
GBTC_Price,238.5887774820382,238.5887774820382
Hash_Ribbon_MA60,238.1213090034819,238.1213090034819
Difficulty_MA30,231.49337563108966,231.49337563108966
EMA100_volume,-226.21922323644623,226.21922323644623
OIL,216.9784919975368,216.9784919975368
Difficulty_MA60,216.22374406637306,216.22374406637306
M2SL,213.6647189547403,213.6647189547403
Difficulty_MA90,193.22725134253878,193.22725134253878
EMA200_volume,-192.81087671682843,192.81087671682843
bc_hash_rate,191.33420785369483,191.33420785369483
LQD,190.73067940758466,190.73067940758466
TLT,176.80200695307332,176.80200695307332
WTREGEN,-174.45429313604546,174.45429313604546
Avg_Fee_Per_Tx,-169.62239882633415,169.62239882633415
ROC,141.78941573993183,141.78941573993183
google_trends_btc,-132.83453308061698,132.83453308061698
Stoch_K,129.90897575946346,129.90897575946346
Williams_R,129.90861063709193,129.90861063709193
UNRATE,-115.43870680632635,115.43870680632635
CCI,111.48501510050178,111.48501510050178
bc_n_unique_addresses,111.22298482996594,111.22298482996594
Puell_Multiple,110.77327553912144,110.77327553912144
GDP,94.70902897840247,94.70902897840247
GBTC_Premium,85.49314984739168,85.49314984739168
Avg_Fee_Per_Tx_MA30,-82.94888266549408,82.94888266549408
UUP,82.93435279015483,82.93435279015483
FBTC_Volume_Change_7d,68.82673698603665,68.82673698603665
SILVER,67.77960585091391,67.77960585091391
bc_total_bitcoins,66.2294127225652,66.2294127225652
bc_transaction_fees,58.71345088560764,58.71345088560764
DGS10,-49.96653484635414,49.96653484635414
DXY,-49.07780980183675,49.07780980183675
WALCL,-41.36188133400101,41.36188133400101
FED_NET_LIQUIDITY,-40.81182818036586,40.81182818036586
MACD_diff,37.82538848057261,37.82538848057261
volume_change,30.491819366418596,30.491819366418596
Mempool_Stress,28.701757484005427,28.701757484005427
IBIT_Volume_Change_7d,28.51710016955678,28.51710016955678
VIX,26.473280965675443,26.473280965675443
CPIAUCSL,-25.59472542502177,25.59472542502177
VIXCLS,24.757131836531247,24.757131836531247
BITB_Volume_Change_7d,22.761812896492767,22.761812896492767
MFI,-20.915164699042155,20.915164699042155
Stoch_D,20.016352745646905,20.016352745646905
GBTC_Volume_Change_7d,18.086045921581754,18.086045921581754
EURUSD,9.30185082748328,9.30185082748328
DTWEXBGS,8.171327505056121,8.171327505056121
ARKB_Volume_Change_7d,-7.133772119168327,7.133772119168327
Active_Addresses_Change,-5.433231433959883,5.433231433959883
Miner_Revenue_to_Cap_MA30,5.229611472888113,5.229611472888113
DEXUSEU,3.4327552045263854,3.4327552045263854
