Feature,SHAP_Importance
GLD,2585.7834044821852
FBTC_Price,2007.8229148861144
IBIT_Price,1998.7691854033374
NVT_Ratio,1466.0985837942037
NVT_Ratio_MA90,1157.671758044267
ETH,978.3096507120745
Hash_Ribbon_MA30,837.5043807824619
Hash_Ribbon_MA60,811.8747448797079
RRPONTSYD,515.8694597130886
Hash_Ribbon_Spread,187.94950608836666
TLT,147.12197591138442
GBTC_Premium,128.11098428267462
FBTC_Volume_Change_7d,121.08769761556428
WALCL,119.0768018126381
FED_NET_LIQUIDITY,117.45200081889317
Puell_Multiple,58.64722680929371
IBIT_Volume_Change_7d,46.66334998182015
DXY,27.619716862486474
