Feature,SHAP_Importance
SPX,7124.598556202206
GOLD,6365.390924566009
QQQ,5744.966189868688
EMA200_marketcap,2778.5197357358065
SMA30_marketcap,2711.5662105535275
EMA100_marketcap,2649.5523752592517
EMA30_marketcap,2460.313813911376
BSV,2400.053278517676
SMA20_marketcap,2282.995573681016
EMA20_marketcap,2165.517258375849
EMA14_marketcap,1898.50847617355
bc_difficulty,1703.7634774465068
EMA10_marketcap,1687.5348897847173
SMA10_marketcap,1520.763181541001
EMA5_marketcap,1452.638605376
market_cap_approx,1436.5551091117359
SMA5_marketcap,1326.175749595585
SILVER,1266.66610720553
OBV,1239.0963217878846
ATR,1224.4491399841916
bc_hash_rate,1199.6452272699648
bc_miners_revenue,1121.0277150760296
M2SL,1056.5047333433633
fear_greed_index,764.7081185495362
Volume,605.0868823665451
MACD,519.1967117627678
MACD_signal,502.1673818889274
bc_n_transactions,474.04764147197284
volatility_20d,456.00406646795665
EMA100_volume,438.1339987936057
GDP,414.11781679126324
bc_total_bitcoins,378.9543698810763
bc_n_unique_addresses,375.5254101137408
DFF,352.75254242137163
T10Y2Y,338.0284831536091
OIL,255.043522103592
EMA200_volume,243.60742715426426
bc_transaction_fees,221.72355092770903
google_trends_btc,213.84056928827462
RSI,212.33994585745776
DGS10,193.221178390408
ADX,185.73284006623868
daily_return,142.66165801830633
MACD_diff,135.3661617203376
Stoch_K,127.72400577917367
Williams_R,127.72354903502524
EURUSD,116.79584588255041
DEXUSEU,116.72654982549982
UUP,113.21732860975919
DTWEXBGS,99.94559290548658
ROC,74.84081973619973
UNRATE,57.28300818811406
MFI,52.57410605318033
VIXCLS,35.571068287261696
Stoch_D,33.83866580445695
CCI,28.597207108462367
volume_change,22.660044170871515
bc_mempool_size,21.756659549035135
CPIAUCSL,8.73059124353616
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
