Feature,SHAP_Importance
Price_MA200,3482.4775808991917
GLD,2585.783404482182
GOLD,2531.074639959695
SPX,2505.6449677087753
QQQ,2407.2872598516146
FBTC_Price,2007.8229148861137
BITB_Price,2006.5428921702974
ARKB_Price,2004.2969820743356
IBIT_Price,1998.7691854033392
GBTC_Price,1889.1033580524788
SMA30_marketcap,1655.743665970554
EMA30_marketcap,1488.467872304875
SMA20_marketcap,1467.4297789212217
NVT_Ratio,1466.098583794203
EMA100_marketcap,1389.8543788731638
EMA20_marketcap,1321.4422532749466
Total_BTC_ETF_Volume,1263.8403172327085
DIA,1246.8939174281327
EMA200_marketcap,1189.0918606518949
NVT_Ratio_MA90,1157.671758044267
EMA14_marketcap,1156.6449252576356
HYG,1146.7582342784217
EMA10_marketcap,1016.885847772368
BSV,990.5117213524943
ETH,978.3096507120742
SMA10_marketcap,905.7978233109486
Miner_Revenue_to_Cap,890.5661088840495
market_cap_approx,884.1707472130333
EMA5_marketcap,853.0922084994745
Hash_Ribbon_MA30,837.504380782462
Hash_Ribbon_MA60,811.874744879708
bc_difficulty,795.8233767137549
Difficulty_MA30,785.8580448747797
SMA5_marketcap,782.5870004891592
OBV,775.5649345486593
Difficulty_MA60,754.555270709142
bc_miners_revenue,708.7899159797487
Difficulty_MA90,694.4928024880104
Hash_Price,654.9049090142423
bc_n_transactions,628.355575745575
bc_hash_rate,623.4934343882003
fear_greed_index,584.1068734322405
RRPONTSYD,515.8694597130878
ATR,487.48050648729
MACD_signal,477.3118453403172
MACD,472.9646411468954
BAMLH0A0HYM2,447.172644390692
Volume,422.5198664892236
Hash_Price_MA90,408.5090767462497
IWM,399.1377262458506
volatility_20d,395.16009674994865
BAMLC0A0CM,373.44832126007844
SILVER,296.45824594384624
M2SL,267.7755278142398
google_trends_btc,241.41995858095882
Price_to_MA200,240.4573608739226
ADX,236.68792933797718
EMA100_volume,234.2191805026469
Difficulty_Compression,225.2367802346652
bc_n_unique_addresses,202.7464972912966
T10Y2Y,192.24668790272293
Hash_Ribbon_Spread,187.94950608836646
SOFR,184.56335190725312
DFF,184.03278251819506
EMA200_volume,178.78860532948764
GDP,176.64855519006522
RSI,170.81839882352705
OIL,167.9932569693309
bc_mempool_size,151.15365820487682
T10Y3M,150.09771460932853
TLT,147.12197591138454
daily_return,138.11056907283904
Avg_Fee_Per_Tx,137.8529350330371
UUP,137.49284739663221
GBTC_Premium,128.11098428267542
bc_total_bitcoins,128.08292886719653
FBTC_Volume_Change_7d,121.08769761556361
WALCL,119.07680181263767
FED_NET_LIQUIDITY,117.45200081889274
Stoch_K,109.53427497004606
Williams_R,109.53396711321179
LQD,99.54192639687054
CCI,90.68438590593492
WTREGEN,89.06890434734062
ROC,74.89727859817835
Avg_Fee_Per_Tx_MA30,71.23562275060026
Puell_Multiple,58.6472268092939
DGS10,48.31640848996248
IBIT_Volume_Change_7d,46.66334998182012
MACD_diff,42.45073134004078
BITB_Volume_Change_7d,40.7632984167425
CPIAUCSL,40.7205866562612
Miner_Revenue_to_Cap_MA30,38.23445284792943
bc_transaction_fees,35.86374224185574
GBTC_Volume_Change_7d,35.31397519435697
volume_change,28.237486079580304
DXY,27.61971686248658
VIX,20.10795031365514
VIXCLS,18.79013364457545
Stoch_D,17.066192945028956
UNRATE,16.532690889238694
MFI,15.594298197001645
ARKB_Volume_Change_7d,14.278128016359359
Mempool_Stress,11.074057125288828
DTWEXBGS,8.85651870124889
EURUSD,5.900661880622594
Active_Addresses_Change,4.098350374694177
DEXUSEU,2.1946081718316686
cm_feetotusd,0.0
cm_txcnt,0.0
cm_adractcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_isstotusd,0.0
cm_hashrate,0.0
cm_diffmean,0.0
Active_Addresses_MA90,0.0
