Feature,Coefficient,Abs_Coef
OBV,1397.5961111906602,1397.5961111906602
EMA200_volume,888.962323358449,888.962323358449
EMA100_volume,864.9454696714266,864.9454696714266
EMA100_marketcap,850.7641277679184,850.7641277679184
bc_mempool_size,-837.0985320885009,837.0985320885009
EMA200_marketcap,833.0024289290934,833.0024289290934
SMA30_marketcap,726.3226468513543,726.3226468513543
CPIAUCSL,724.1262770145154,724.1262770145154
bc_difficulty,714.7553771979008,714.7553771979008
fear_greed_index,703.7646291498193,703.7646291498193
SILVER,686.227391703649,686.227391703649
bc_total_bitcoins,674.2595140417175,674.2595140417175
UUP,668.8071901075285,668.8071901075285
DGS10,657.9083270848791,657.9083270848791
ATR,615.1599979249354,615.1599979249354
EMA30_marketcap,598.718536624969,598.718536624969
GOLD,576.0236447406243,576.0236447406243
DTWEXBGS,568.8827827387131,568.8827827387131
QQQ,536.46939038174,536.46939038174
SPX,530.8588139608584,530.8588139608584
M2SL,493.8306156874881,493.8306156874881
MACD,488.71100997168406,488.71100997168406
SMA20_marketcap,484.0348413679039,484.0348413679039
EMA20_marketcap,484.0319037212444,484.0319037212444
DEXUSEU,-475.53916629693634,475.53916629693634
bc_miners_revenue,474.35695272967365,474.35695272967365
MACD_signal,462.3420807864333,462.3420807864333
EURUSD,-444.1375017029954,444.1375017029954
VIXCLS,-444.0466409774911,444.0466409774911
CCI,438.2173651610986,438.2173651610986
EMA14_marketcap,392.3141759273279,392.3141759273279
bc_n_unique_addresses,-375.91707766951566,375.91707766951566
DFF,-353.0614162609377,353.0614162609377
OIL,338.28358762156785,338.28358762156785
SMA10_marketcap,334.8905806959098,334.8905806959098
bc_hash_rate,328.0551966530278,328.0551966530278
EMA10_marketcap,322.87160384185194,322.87160384185194
GDP,306.80933579085655,306.80933579085655
daily_return,242.6684395050575,242.6684395050575
EMA5_marketcap,240.42860391657575,240.42860391657575
market_cap_approx,240.39128368303886,240.39128368303886
RSI,231.50472944161532,231.50472944161532
ADX,223.22103653954977,223.22103653954977
SMA5_marketcap,197.69615543635484,197.69615543635484
UNRATE,189.9634535061661,189.9634535061661
MACD_diff,181.85326059834534,181.85326059834534
bc_transaction_fees,-177.64579638078618,177.64579638078618
BSV,166.24338763210378,166.24338763210378
ROC,154.79562606632396,154.79562606632396
Williams_R,132.05395249871268,132.05395249871268
Stoch_K,132.05163222227395,132.05163222227395
T10Y2Y,-119.29922560931045,119.29922560931045
volume_change,77.09186239446188,77.09186239446188
bc_n_transactions,-66.31683584039723,66.31683584039723
Stoch_D,61.960946902370075,61.960946902370075
volatility_20d,57.79407823478761,57.79407823478761
MFI,43.466233122684216,43.466233122684216
Volume,-15.64041107144442,15.64041107144442
