Feature,Coefficient,Abs_Coef
bc_miners_revenue,1848.4270195933382,1848.4270195933382
SPX,1321.1089823764246,1321.1089823764246
QQQ,1194.9449895775997,1194.9449895775997
OBV,1113.6912021818516,1113.6912021818516
DFF,-880.9496271079738,880.9496271079738
fear_greed_index,863.5436258673514,863.5436258673514
M2SL,794.8901387700491,794.8901387700491
T10Y2Y,789.0760208986032,789.0760208986032
SMA30_marketcap,777.459863276526,777.459863276526
SMA20_marketcap,724.4793140941288,724.4793140941288
bc_transaction_fees,-719.7852554387033,719.7852554387033
EMA30_marketcap,690.7236830280625,690.7236830280625
volatility_20d,-678.5396368527521,678.5396368527521
EMA20_marketcap,643.9561733903319,643.9561733903319
ATR,601.4989264471445,601.4989264471445
Volume,-597.9004466762973,597.9004466762973
MACD_signal,586.6854502846004,586.6854502846004
EMA14_marketcap,583.7283731002651,583.7283731002651
google_trends_btc,-579.5749330294117,579.5749330294117
EMA200_marketcap,563.5910792128723,563.5910792128723
EMA100_volume,-562.3300273083786,562.3300273083786
MACD,561.5715976013338,561.5715976013338
EMA100_marketcap,529.9189423566528,529.9189423566528
EMA10_marketcap,528.2525774493595,528.2525774493595
market_cap_approx,494.72892415428026,494.72892415428026
UNRATE,-485.20104294223256,485.20104294223256
SMA10_marketcap,476.6433311643331,476.6433311643331
EMA5_marketcap,460.1538489087201,460.1538489087201
SMA5_marketcap,450.560935236516,450.560935236516
UUP,-422.85201110195777,422.85201110195777
DGS10,-417.61536566652484,417.61536566652484
BSV,394.0225606456474,394.0225606456474
EMA200_volume,-367.5884314531569,367.5884314531569
RSI,343.8347625555419,343.8347625555419
bc_n_unique_addresses,334.8349823994648,334.8349823994648
OIL,323.3848642378765,323.3848642378765
DTWEXBGS,-322.0041559332658,322.0041559332658
EURUSD,275.8004231362853,275.8004231362853
DEXUSEU,261.38605346232123,261.38605346232123
daily_return,260.5932875518378,260.5932875518378
CPIAUCSL,-249.89917140390713,249.89917140390713
VIXCLS,238.03572082363098,238.03572082363098
GOLD,223.7028748594244,223.7028748594244
bc_n_transactions,214.97354415637406,214.97354415637406
bc_total_bitcoins,-207.9201927043925,207.9201927043925
MFI,-163.11547413346986,163.11547413346986
Stoch_K,140.21925765035763,140.21925765035763
Williams_R,140.2171939520283,140.2171939520283
ROC,124.80059983655003,124.80059983655003
SILVER,90.8240531852533,90.8240531852533
ADX,-66.72283503376067,66.72283503376067
volume_change,-64.39457812460726,64.39457812460726
bc_hash_rate,-38.90413724289918,38.90413724289918
CCI,21.755016123336254,21.755016123336254
bc_mempool_size,-20.208991273138402,20.208991273138402
MACD_diff,18.002054308294454,18.002054308294454
GDP,-16.14510736763328,16.14510736763328
Stoch_D,-15.456981165634042,15.456981165634042
bc_difficulty,1.9907031788469347,1.9907031788469347
