feature,importance
M2SL,0.184968317645972
EMA200_marketcap,0.15478815700087004
OBV,0.09644570879503257
fear_greed_index,0.08126300523647717
SILVER,0.04050056759150131
ADX,0.037159633976752066
EURUSD,0.02757346687097477
MACD_signal,0.027509682421285566
T10Y2Y,0.027245971075604863
SMA30_marketcap,0.024040134710128024
bc_total_bitcoins,0.023980357138248164
DTWEXBGS,0.023574218517417225
volatility_20d,0.018118301817754562
VIXCLS,0.014973915031532644
MACD,0.01414945842143374
BSV,0.013371490134200394
UUP,0.013220134655693806
bc_mempool_size,0.011960780581027688
EMA200_volume,0.01060493328972061
MACD_diff,0.010404336680087247
EMA100_volume,0.010168224811293229
bc_n_transactions,0.009949606243702579
bc_miners_revenue,0.009844644940388019
SPX,0.009438560575732563
google_trends_btc,0.009333187860546422
EMA100_marketcap,0.007896904245782828
DGS10,0.007665043003198806
MFI,0.00696157815096806
DEXUSEU,0.006884626139009375
ROC,0.005734214923279647
OIL,0.0051438167019302265
SMA20_marketcap,0.005023165805634946
GOLD,0.005003629885606142
QQQ,0.004399701320757532
RSI,0.004338609922679082
bc_difficulty,0.004101822073044638
bc_transaction_fees,0.003999221939938516
EMA30_marketcap,0.003286765328121828
EMA14_marketcap,0.002793529200521509
UNRATE,0.002568365784394574
CCI,0.002279272363255195
bc_n_unique_addresses,0.001783152453013511
Volume,0.001762543245009482
ATR,0.0016977485026305344
Stoch_D,0.001654473797073589
EMA20_marketcap,0.0014343077085225172
bc_hash_rate,0.0013960855319084383
SMA5_marketcap,0.0011417933971945237
market_cap_approx,0.0010561056334198403
SMA10_marketcap,0.001011759187922609
EMA5_marketcap,0.0009822561180476154
Stoch_K,0.000880524778751849
EMA10_marketcap,0.0008629417241439332
Williams_R,0.0007702467564380544
daily_return,0.000405814067062104
volume_change,0.00018928524948615315
CPIAUCSL,0.00013172860668177256
DFF,0.00012945664253407658
GDP,4.2713788659241824e-05
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
