feature,importance
bc_miners_revenue,0.7803155381639232
T10Y2Y,0.07453922247084305
DGS10,0.05538416923080741
bc_n_transactions,0.020896755891400883
google_trends_btc,0.010526894733390541
BSV,0.008299777211398832
fear_greed_index,0.005923563705466049
DEXUSEU,0.005916179754392312
bc_total_bitcoins,0.00554882499741986
EURUSD,0.00504652293107499
VIXCLS,0.004299758651814489
DFF,0.0032310197044341546
SPX,0.0031328541757880196
GOLD,0.002779356576715768
QQQ,0.0021807480037192334
bc_mempool_size,0.0019367349803333636
bc_difficulty,0.0015463979284801946
SILVER,0.0014001065756196287
DTWEXBGS,0.0013378155202344612
bc_hash_rate,0.0012864811049805025
bc_n_unique_addresses,0.0011735463010618245
UUP,0.0010420494614331894
Volume,0.0009326093670100938
bc_transaction_fees,0.0009032649131347092
OIL,0.0003992963368505062
UNRATE,2.0511308272918122e-05
GDP,0.0
M2SL,0.0
CPIAUCSL,0.0
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
