feature,importance
bc_miners_revenue,0.3834998
T10Y2Y,0.15724188
DGS10,0.14441688
fear_greed_index,0.07600176
bc_total_bitcoins,0.034129024
DFF,0.031780537
bc_n_transactions,0.016685586
SPX,0.015607456
google_trends_btc,0.015223971
GOLD,0.013121038
VIXCLS,0.01284536
BSV,0.01185573
OIL,0.009263973
bc_difficulty,0.009165219
EURUSD,0.008668599
bc_hash_rate,0.0085236775
UUP,0.008208154
SILVER,0.007947932
bc_n_unique_addresses,0.007496375
QQQ,0.0063924836
bc_mempool_size,0.0059523922
DEXUSEU,0.005933738
bc_transaction_fees,0.00582228
Volume,0.0031528426
DTWEXBGS,0.0010633913
GDP,0.0
M2SL,0.0
UNRATE,0.0
CPIAUCSL,0.0
cm_adractcnt,0.0
cm_txcnt,0.0
cm_txtfrvaladjusd,0.0
cm_txtfrvalmeanusd,0.0
cm_hashrate,0.0
cm_isstotusd,0.0
cm_feetotusd,0.0
cm_diffmean,0.0
