feature,importance,category
bc_miners_revenue,0.3916432,OnChain
GDP,0.18582232,Macro
UNRATE,0.1671534,Macro
CPIAUCSL,0.05907638,Macro
M2SL,0.036861267,Macro
DFF,0.036094848,Macro
bc_total_bitcoins,0.030790407,OnChain
T10Y2Y,0.01757435,Macro
DTWEXBGS,0.012385559,Macro
DGS10,0.01080038,Macro
bc_difficulty,0.007549159,OnChain
google_trends_btc,0.007510635,Sentiment
fear_greed_index,0.00729261,Sentiment
Volume,0.0067440704,Volume
bc_n_unique_addresses,0.0047709243,OnChain
bc_transaction_fees,0.0043247924,OnChain
bc_hash_rate,0.004284108,OnChain
VIXCLS,0.0027181737,Macro
bc_n_transactions,0.0025997974,OnChain
DEXUSEU,0.0025830101,Macro
bc_mempool_size,0.0014205085,OnChain
cm_adractcnt,0.0,OnChain
cm_txcnt,0.0,OnChain
cm_txtfrvaladjusd,0.0,OnChain
cm_txtfrvalmeanusd,0.0,OnChain
cm_hashrate,0.0,OnChain
cm_isstotusd,0.0,OnChain
cm_feetotusd,0.0,OnChain
cm_diffmean,0.0,OnChain
