feature,pearson_rank,mdi_rank,pfi_rank,shap_rank,avg_rank
EMA5_close,1,1,24,1,6.75
SMA5_close,2,2,37,2,10.75
OBV,36,6,7,6,13.75
RSI,53,3,4,3,15.75
Williams_R,59,5,11,5,20.0
BB_low,12,26,16,27,20.25
CCI,64,8,1,8,20.25
Stoch_K,58,7,13,7,21.25
bc_miners_revenue,30,15,28,15,22.0
daily_return,69,10,5,9,23.25
fear_greed_index,34,25,10,24,23.25
MACD,46,23,12,14,23.75
EMA100_close,13,33,19,31,24.0
SPX,17,34,18,29,24.5
EURUSD,38,35,2,33,27.0
MFI,61,16,15,18,27.5
MACD_signal,45,30,8,28,27.75
SMA10_marketcap,23,32,23,36,28.5
ROC,60,13,29,13,28.75
QQQ,16,21,69,12,29.5
bc_difficulty,39,9,55,17,30.0
SMA20_marketcap,22,31,38,34,31.25
EMA10_close,3,40,40,44,31.75
EMA30_close,9,51,17,55,33.0
VIXCLS,43,11,68,10,33.0
BSV,15,41,31,47,33.5
UNRATE,42,20,53,20,33.75
EMA200_close,14,42,41,38,33.75
bc_mempool_size,49,12,59,16,34.0
MACD_diff,74,17,25,21,34.25
DEXUSEU,37,48,6,46,34.25
SMA10_close,4,28,79,30,35.25
bc_total_bitcoins,55,4,78,4,35.25
SMA5_marketcap,26,46,35,35,35.5
BB_high,10,38,54,41,35.75
GOLD,33,18,74,22,36.75
DGS10,66,29,14,39,37.0
M2SL,57,14,67,11,37.25
bc_n_transactions,41,27,56,25,37.25
EMA20_marketcap,18,22,83,26,37.25
OIL,48,36,30,37,37.75
SMA30_marketcap,24,53,21,54,38.0
SILVER,28,47,49,32,39.0
DTWEXBGS,56,54,3,48,40.25
EMA200_marketcap,32,43,36,50,40.25
UUP,70,45,9,43,41.75
EMA14_marketcap,19,39,70,40,42.0
ADX,67,19,65,19,42.5
EMA10_marketcap,21,37,63,51,43.0
market_cap_approx,31,50,48,45,43.5
ATR,27,70,22,63,45.5
Stoch_D,54,24,82,23,45.75
EMA100_volume,47,44,52,42,46.25
SMA20_close,8,61,50,66,46.25
EMA20_close,6,67,46,69,47.0
EMA14_close,5,52,81,52,47.5
Volume,50,57,33,57,49.25
SMA30_close,11,59,75,56,50.25
BB_mid,7,83,44,73,51.75
EMA5_marketcap,25,69,47,71,53.0
EMA200_volume,52,63,34,65,53.5
volatility_20d,65,56,43,61,56.25
google_trends_btc,35,66,58,67,56.5
bc_hash_rate,40,65,57,64,56.5
bc_transaction_fees,63,68,27,70,57.0
T10Y2Y,44,64,60,62,57.5
BB_width,68,55,64,49,59.0
bc_n_unique_addresses,51,49,84,53,59.25
volume_change,72,60,45,60,59.25
EMA100_marketcap,29,71,71,68,59.75
EMA30_marketcap,20,72,76,72,60.0
DFF,73,58,66,59,64.0
cm_txtfrvalmeanusd,80,77,20,80,64.25
GDP,62,78,42,75,64.25
cm_txtfrvaladjusd,79,73,26,79,64.25
Dividends,75,82,32,74,65.75
CPIAUCSL,71,62,77,58,67.0
cm_hashrate,81,76,39,81,69.25
Stock Splits,76,81,51,76,71.0
cm_isstotusd,82,75,61,82,75.0
cm_txcnt,78,79,72,78,76.75
cm_feetotusd,83,74,73,83,78.25
cm_adractcnt,77,80,80,77,78.5
cm_diffmean,84,84,62,84,78.5
