model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,feature_set,n_features
RF_top10,0.9923694167626312,-8.036089732352822,1407.0650678037102,35055.58480989762,959.6586337669534,33114.2585522832,top10,10
RF_top20,0.9925540339804281,-8.08987664068494,1389.9393145153356,35159.763388108106,949.8044084172254,33225.506978934085,top20,20
RF_top30,0.992832429804454,-8.095014822720481,1363.7076966279678,35169.699262333685,935.7454851160356,33234.62679150436,top30,30
RF_all,0.9929557938979623,-8.13927778666818,1351.9210843555156,35255.17607179398,931.8755743150879,33327.606487865334,all,82
RF_top40,0.9929190367018204,-8.155636571659002,1355.443707849341,35286.71434046697,933.6282717033711,33359.47946827828,top40,40
RF_top50,0.9929533173074879,-8.16204153810981,1352.158716573978,35299.05486459815,932.1319424765755,33375.876703269605,top50,50
XGB_top10,0.9947722934033073,-8.391972306909834,1164.637893848119,35739.24311088902,813.5170623969731,33725.39548005831,top10,10
XGB_top20,0.9955627290293622,-8.555927548343051,1072.9841074845212,36049.842631215826,761.5002520486871,34183.0744614723,top20,20
XGB_top30,0.9958297066983407,-8.835577261208263,1040.2042273966063,36573.52971654125,731.3978242106582,34621.27338412172,top30,30
XGB_top40,0.9958910509897178,-8.974913818870421,1032.5252718401318,36831.67969500868,723.0562019073668,34892.05129729591,top40,40
XGB_all,0.9961475337472946,-9.19509480672127,999.7806698600198,37235.96242947041,707.4049237281182,35364.25134740525,all,82
XGB_top50,0.9959766124118257,-9.300685641073677,1021.7184834577406,37428.292585334195,721.6407503204777,35517.49084722303,top50,50
