model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape,feature_set,n_features
XGB_top10,0.9900103488024491,0.7582817065889897,893.8664487266514,3416.7131468161533,689.1776157548701,2795.5368756375,1.5452024095936019,4.911938579727897,top10,10
RF_top30,0.9594495919004962,0.6728631986830467,1800.9227684536918,3974.829098771085,1396.187909933769,3229.2251046559745,3.0769360454267014,5.616829290565487,top30,30
XGB_all,0.9956526106380442,0.672109103481469,589.6736796123962,3979.407724856813,463.2209651515152,3270.04668045,1.0360654132570983,5.781768220319867,all,82
RF_all,0.961657949019575,0.670972762494034,1751.1975632220478,3986.2972925270324,1344.9017513395152,3241.5137981022654,2.9598869396187553,5.640782306098228,all,82
RF_top10,0.9539485543865881,0.6702333589305869,1919.1950198055215,3990.773864706017,1477.2675657480506,3258.4097558116946,3.255161531561087,5.6363833236893335,top10,10
RF_top20,0.9571416562830399,0.6667253103353743,1851.463547358011,4011.9445824096583,1432.4950044146776,3263.1712991915742,3.1551401273816335,5.6836130550024,top20,20
RF_top50,0.9608479483153893,0.6479089929691826,1769.5984806742513,4123.644573601564,1358.5371321465068,3371.329070821628,2.9816730848450557,5.859469794614229,top50,50
RF_top40,0.9604159370305031,0.6450596778934137,1779.334741775655,4140.296358406698,1369.091231000004,3359.6678161594573,3.014159907273195,5.826723765907006,top40,40
XGB_top20,0.9928513233304073,0.5647605503839463,756.1540827374901,4584.773500573064,588.7917087851731,3890.2450787625003,1.3209881810395319,6.88156395832944,top20,20
XGB_top50,0.9947764228262035,0.546709119364887,646.3704323469815,4678.883696740039,506.08020471861477,3990.5095318625,1.1376259527402754,7.038906727927875,top50,50
XGB_top40,0.9944571693941128,0.49215768551263417,665.8298745826032,4952.428352503606,530.5106194642858,4145.5793366749995,1.1855461258896585,7.255616036196447,top40,40
XGB_top30,0.9939252527769532,0.4018671988239134,697.0462252411415,5374.6794635700535,550.9234222321429,4497.0846491,1.2316894117342136,7.847886792285102,top30,30
