variable,sup_F,breakpoint_date,tau_star,critical_10,critical_05,critical_01,significant_05,significant_01
bc_miners_revenue,11011.911457213613,2024-04-25,1177,7.12,8.68,12.16,True,True
CPIAUCSL,7457.32189203442,2023-08-01,909,7.12,8.68,12.16,True,True
DFF,6023.974288535372,2023-12-03,1033,7.12,8.68,12.16,True,True
T10Y2Y,5929.6815913914315,2024-02-09,1101,7.12,8.68,12.16,True,True
SOFR,5897.096917096563,2023-12-04,1034,7.12,8.68,12.16,True,True
T10Y3M,5870.35751199825,2023-12-05,1035,7.12,8.68,12.16,True,True
OBV,4918.294168868779,2023-08-25,933,7.12,8.68,12.16,True,True
EMA200_volume,4905.485578717855,2023-10-20,989,7.12,8.68,12.16,True,True
bc_total_bitcoins,4729.6820201324435,2023-08-23,931,7.12,8.68,12.16,True,True
GDP,4278.125506483187,2023-07-01,878,7.12,8.68,12.16,True,True
M2SL,3755.74243535386,2024-02-09,1101,7.12,8.68,12.16,True,True
EMA100_volume,3505.280020225171,2023-10-16,985,7.12,8.68,12.16,True,True
Hash_Price,3471.7681479220723,2024-04-25,1177,7.12,8.68,12.16,True,True
bc_mempool_size,3459.2513582992106,2024-02-09,1101,7.12,8.68,12.16,True,True
DXY,3321.0906032657463,2024-02-27,1119,7.12,8.68,12.16,True,True
LQD,3293.683778145427,2024-02-13,1105,7.12,8.68,12.16,True,True
Hash_Price_MA90,3154.622615139428,2024-02-12,1104,7.12,8.68,12.16,True,True
EURUSD,3070.82819064043,2024-02-28,1120,7.12,8.68,12.16,True,True
DEXUSEU,3068.323767451076,2024-02-28,1120,7.12,8.68,12.16,True,True
UNRATE,2959.7394675732403,2023-11-01,1001,7.12,8.68,12.16,True,True
TLT,2762.9450689073255,2024-02-28,1120,7.12,8.68,12.16,True,True
GBTC_Premium,2748.786686917407,2024-10-28,1363,7.12,8.68,12.16,True,True
WTREGEN,2555.4625648343485,2024-02-28,1120,7.12,8.68,12.16,True,True
Avg_Fee_Per_Tx_MA30,2527.9708395475727,2024-02-09,1101,7.12,8.68,12.16,True,True
DTWEXBGS,2522.2258050202713,2024-02-28,1120,7.12,8.68,12.16,True,True
DGS10,2371.002186433473,2024-02-27,1119,7.12,8.68,12.16,True,True
volatility_20d,2346.0589288614997,2024-02-28,1120,7.12,8.68,12.16,True,True
OIL,2307.2350439529146,2024-02-27,1119,7.12,8.68,12.16,True,True
bc_transaction_fees,2229.6482422615713,2024-10-11,1346,7.12,8.68,12.16,True,True
NVT_Ratio_MA90,2222.3227049593897,2023-12-01,1031,7.12,8.68,12.16,True,True
ROC,2210.1445257038135,2024-11-06,1372,7.12,8.68,12.16,True,True
Stoch_K,2202.899019594401,2024-11-06,1372,7.12,8.68,12.16,True,True
Williams_R,2202.899019593103,2024-11-06,1372,7.12,8.68,12.16,True,True
MFI,2201.010030164991,2024-11-06,1372,7.12,8.68,12.16,True,True
RSI,2192.4967525703614,2024-11-06,1372,7.12,8.68,12.16,True,True
CCI,2188.4718170044516,2024-11-06,1372,7.12,8.68,12.16,True,True
Hash_Ribbon_Spread,2181.6463974428452,2024-10-28,1363,7.12,8.68,12.16,True,True
Difficulty_Compression,2178.647697194976,2024-11-06,1372,7.12,8.68,12.16,True,True
daily_return,2174.5286232216413,2024-11-06,1372,7.12,8.68,12.16,True,True
volume_change,2171.6919324068926,2024-11-06,1372,7.12,8.68,12.16,True,True
Active_Addresses_Change,2171.2456776012023,2024-11-06,1372,7.12,8.68,12.16,True,True
MACD_diff,2171.1192092280894,2024-11-06,1372,7.12,8.68,12.16,True,True
Avg_Fee_Per_Tx,2162.6662299024238,2024-02-27,1119,7.12,8.68,12.16,True,True
cm_diffmean,2156.2916886785315,2024-02-28,1120,7.12,8.68,12.16,True,True
Mempool_Stress,2155.93033969435,2024-11-06,1372,7.12,8.68,12.16,True,True
BB_width,2136.455494668633,2024-11-06,1372,7.12,8.68,12.16,True,True
cm_feetotusd,2092.9500919940756,2024-11-06,1372,7.12,8.68,12.16,True,True
NVT_Ratio,1996.132988642023,2024-02-27,1119,7.12,8.68,12.16,True,True
UUP,1842.1706484381834,2024-02-14,1106,7.12,8.68,12.16,True,True
RRPONTSYD,1718.644943626488,2024-11-10,1376,7.12,8.68,12.16,True,True
