variable,sup_F,breakpoint_date,tau_star,critical_10,critical_05,critical_01,significant_05,significant_01
VIXCLS,2526.450730096765,2024-10-28,1363,7.12,8.68,12.16,True,True
VIX,2524.341473972286,2024-10-28,1363,7.12,8.68,12.16,True,True
BAMLH0A0HYM2,2504.722384734412,2024-11-11,1377,7.12,8.68,12.16,True,True
fear_greed_index,2467.2960713491434,2024-11-10,1376,7.12,8.68,12.16,True,True
volatility_20d,2346.0589288614997,2024-02-28,1120,7.12,8.68,12.16,True,True
OIL,2307.2350439529146,2024-02-27,1119,7.12,8.68,12.16,True,True
bc_transaction_fees,2229.6482422615713,2024-10-11,1346,7.12,8.68,12.16,True,True
RSI,2192.4967525703614,2024-11-06,1372,7.12,8.68,12.16,True,True
BB_width,2136.455494668633,2024-11-06,1372,7.12,8.68,12.16,True,True
Volume,1796.4728384076857,2024-03-07,1128,7.12,8.68,12.16,True,True
bc_n_unique_addresses,1621.34323342616,2024-11-06,1372,7.12,8.68,12.16,True,True
Miner_Revenue_to_Cap,808.3757760844652,2024-11-10,1376,7.12,8.68,12.16,True,True
SILVER,481.58855711560795,2024-11-11,1377,7.12,8.68,12.16,True,True
