Date,BTC_vs_SPX,BTC_vs_VIX,BTC_vs_GOLD,BTC_vs_TLT,BTC_vs_DXY
2021-02-23,,,,,
2021-02-24,,,,,
2021-02-25,,,,,
2021-02-26,,,,,
2021-02-27,,,,,
2021-02-28,,,,,
2021-03-01,,,,,
2021-03-02,,,,,
2021-03-03,,,,,
2021-03-04,,,,,
2021-03-05,,,,,
2021-03-06,,,,,
2021-03-07,,,,,
2021-03-08,,,,,
2021-03-09,,,,,
2021-03-10,,,,,
2021-03-11,,,,,
2021-03-12,,,,,
2021-03-13,,,,,
2021-03-14,,,,,
2021-03-15,,,,,
2021-03-16,,,,,
2021-03-17,,,,,
2021-03-18,,,,,
2021-03-19,,,,,
2021-03-20,,,,,
2021-03-21,,,,,
2021-03-22,,,,,
2021-03-23,,,,,
2021-03-24,,,,,
2021-03-25,,,,,
2021-03-26,,,,,
2021-03-27,,,,,
2021-03-28,,,,,
2021-03-29,,,,,
2021-03-30,,,,,
2021-03-31,,,,,
2021-04-01,,,,,
2021-04-02,,,,,
2021-04-03,,,,,
2021-04-04,,,,,
2021-04-05,,,,,
2021-04-06,,,,,
2021-04-07,,,,,
2021-04-08,,,,,
2021-04-09,,,,,
2021-04-10,,,,,
2021-04-11,,,,,
2021-04-12,,,,,
2021-04-13,,,,,
2021-04-14,,,,,
2021-04-15,,,,,
2021-04-16,,,,,
2021-04-17,,,,,
2021-04-18,,,,,
2021-04-19,,,,,
2021-04-20,,,,,
2021-04-21,,,,,
2021-04-22,,,,,
2021-04-23,0.4805798043177774,0.6625234550054167,0.5349037657592595,0.6608651704385848,0.5859624706678412
2021-04-24,0.5720797810012627,0.7452314059850493,0.5280714579987806,0.7312823231955576,0.6129800116148904
2021-04-25,0.6730957070816964,0.8275027856703667,0.5601861456996724,0.8035917205406603,0.6619321667482578
2021-04-26,0.7114700878453605,0.8322036643325342,0.5896289084583487,0.8553468200793828,0.731909378723702
2021-04-27,0.7565573780165223,0.8386012464333974,0.5693916057722211,0.8410249217973611,0.7324419324344285
2021-04-28,0.8125040003692681,0.8522136993095483,0.547156082708008,0.8278741665273321,0.7362250587590937
2021-04-29,0.818383079388578,0.8386039917046706,0.5287492369462649,0.805302859434579,0.7165995740184509
2021-04-30,0.8080775828209729,0.8130008501288831,0.49874929431817794,0.7661893880465722,0.7291918772816268
2021-05-01,0.7955082568810373,0.786299293548532,0.46556235017716646,0.727205887995547,0.7379191413928123
2021-05-02,0.7766931003619645,0.756720370913727,0.425637128813716,0.6858434518366897,0.7435627570021156
2021-05-03,0.7632968514959767,0.7334393947275726,0.39593338939791367,0.6494237068371523,0.7366293407025546
2021-05-04,0.734436854031366,0.6981231869927311,0.3592882948635413,0.6019437244980486,0.7276348260805936
2021-05-05,0.6811554531839026,0.6458802778609665,0.2835605291472417,0.5034487621538245,0.714007627634311
2021-05-06,0.6300524479629811,0.590980303909148,0.2294558584776302,0.39707348883800625,0.7041001594055614
2021-05-07,0.5785477329182126,0.5408736860430876,0.17857596646508553,0.29899088138496593,0.7025756097941599
2021-05-08,0.5306833594783313,0.49442448483542756,0.10204242827934264,0.21249363224774545,0.6950559623701322
2021-05-09,0.4742352164412086,0.43763365706686097,0.009204652010298242,0.11982148607363681,0.691146510609913
2021-05-10,0.4214548725250752,0.3977305608730477,-0.08109983524849532,0.03973200809474808,0.6859269349407267
2021-05-11,0.36599176330228755,0.35503652962941495,-0.18659731458683496,-0.05228355290895769,0.6785540491777575
2021-05-12,0.30243812600986664,0.3366082590900223,-0.3373574869474958,-0.190677783042055,0.6846436218376396
2021-05-13,0.2530693935494671,0.3532003664728818,-0.44290989073894294,-0.31793789940458855,0.6865308433032805
2021-05-14,0.26007853256126867,0.42498429544496463,-0.5170885794676026,-0.40214859949661197,0.7010693972145997
2021-05-15,0.2771371943704127,0.4985531300656413,-0.5962591712648311,-0.49247437372128844,0.7147653987410015
2021-05-16,0.300031153156841,0.5323296631511496,-0.6622467313786996,-0.5702233074463379,0.7344139461871223
2021-05-17,0.33153665034658564,0.566115114612732,-0.639976125090652,-0.5942270107969989,0.7472082691251879
2021-05-18,0.3736162021233578,0.5949856047199648,-0.6237707575420913,-0.619774278613611,0.760671083658023
2021-05-19,0.4407751845923084,0.641503807853221,-0.5861494275309191,-0.6354774828854126,0.7822737736136529
2021-05-20,0.5194583005422861,0.6829788771609632,-0.5460146156231543,-0.625551304117635,0.7947077972803592
2021-05-21,0.5851148807188352,0.7170342844787538,-0.5039800824190146,-0.6210562641333383,0.803999273442341
2021-05-22,0.6418010720540689,0.7444475588228686,-0.4687398499161722,-0.6161131510895919,0.8219144978999715
2021-05-23,0.6824611231700642,0.7666670233053372,-0.46099454095057296,-0.6115799090941721,0.8267303857178528
2021-05-24,0.7087659049517907,0.7847179190539131,-0.47389773398850427,-0.6089912540667523,0.8190038128197985
2021-05-25,0.7347175235571481,0.799623577574577,-0.483773586345783,-0.6085960489943207,0.8175016201809032
2021-05-26,0.7569067289900379,0.8125962224180414,-0.5221627605422995,-0.6065395670832263,0.8220946305015714
2021-05-27,0.7733022471196946,0.8226070375702954,-0.5633316940577454,-0.6055585148365938,0.8073397607981977
2021-05-28,0.7842774158624205,0.8316839301817452,-0.6529309088547253,-0.5973758918519296,0.7938357521135458
2021-05-29,0.793963576985208,0.8395126199609237,-0.6957575282222069,-0.5911212232772964,0.7828249411540267
2021-05-30,0.7972831335621763,0.8434485974952097,-0.7135126401447625,-0.5956478772522439,0.7703307785870674
