cause,effect,p_value,best_lag,significant
Close,SPX,0.010835532647217415,4,True
Close,QQQ,0.020241188180865743,4,True
Close,VIX,0.14531164320769646,4,False
Close,GOLD,0.04629328013322457,2,True
Close,TLT,0.0002096110452072332,2,True
Close,DXY,0.003083638094569164,5,True
SPX,Close,0.2022848512564215,4,False
SPX,QQQ,0.007926195343701746,3,True
SPX,VIX,0.1638370252627158,4,False
SPX,GOLD,3.0932737510742334e-09,5,True
SPX,TLT,1.552090659092746e-09,5,True
SPX,DXY,3.065357671145911e-13,2,True
QQQ,Close,0.32641433840349293,2,False
QQQ,SPX,0.09389003582468848,5,False
QQQ,VIX,0.2942258877658098,4,False
QQQ,GOLD,2.3373405919253538e-08,2,True
QQQ,TLT,1.2467746577050595e-07,2,True
QQQ,DXY,8.355009619523685e-14,2,True
VIX,Close,0.0024740520618168,5,True
VIX,SPX,0.0869439958903285,5,False
VIX,QQQ,0.04342515677370778,5,True
VIX,GOLD,0.004133655371058367,5,True
VIX,TLT,4.519300487826468e-06,3,True
VIX,DXY,0.001141093798516627,5,True
GOLD,Close,0.13263307297032698,1,False
GOLD,SPX,0.016830582974011868,1,True
GOLD,QQQ,0.03138139175779923,1,True
GOLD,VIX,0.18275696520478293,4,False
GOLD,TLT,0.22107994613558815,3,False
GOLD,DXY,0.2378422862617442,2,False
TLT,Close,0.012365452053145851,3,True
TLT,SPX,4.287847969327624e-09,4,True
TLT,QQQ,7.330753945952592e-11,4,True
TLT,VIX,0.004841875376548839,4,True
TLT,GOLD,0.11653786742542814,4,False
TLT,DXY,0.00010686940702594617,4,True
DXY,Close,0.0419747722991551,4,True
DXY,SPX,0.06320589946132908,3,False
DXY,QQQ,0.08180111670345815,3,False
DXY,VIX,0.3330232718802484,3,False
DXY,GOLD,0.01987939328245135,4,True
DXY,TLT,0.004075232874465834,5,True
