cause,effect,p_value,best_lag,significant
Close,SPX,0.02111685011080914,3,True
Close,QQQ,0.006366823990866919,3,True
Close,VIX,0.6484837361673919,1,False
Close,GOLD,0.157999477121163,1,False
Close,TLT,0.02226964021780624,3,True
Close,DXY,0.00011579825407300162,4,True
SPX,Close,0.2580302325654611,4,False
SPX,QQQ,0.3810557179282028,1,False
SPX,VIX,0.006284333025691671,3,True
SPX,GOLD,0.0010637602631557318,2,True
SPX,TLT,7.026741964356713e-05,5,True
SPX,DXY,1.569867766450081e-05,5,True
QQQ,Close,0.3973051532274212,3,False
QQQ,SPX,0.21799648899076876,5,False
QQQ,VIX,0.026806677928287878,3,True
QQQ,GOLD,4.418575205533417e-05,2,True
QQQ,TLT,6.0397836010553e-05,3,True
QQQ,DXY,3.720847257031777e-05,5,True
VIX,Close,0.019125389589652753,2,True
VIX,SPX,0.09309478856127454,5,False
VIX,QQQ,0.2676877565216537,5,False
VIX,GOLD,0.015977863070859737,2,True
VIX,TLT,0.0005150551243343151,2,True
VIX,DXY,0.033779180147273796,2,True
GOLD,Close,0.029245164843760288,5,True
GOLD,SPX,0.6554233230517181,3,False
GOLD,QQQ,0.8911836903746366,3,False
GOLD,VIX,0.008511600479760937,5,True
GOLD,TLT,0.17764178672094044,5,False
GOLD,DXY,0.4287647860284961,1,False
TLT,Close,0.0049264972370105685,2,True
TLT,SPX,0.3563819525282239,1,False
TLT,QQQ,0.3333051172318442,5,False
TLT,VIX,0.0036538979897814405,1,True
TLT,GOLD,0.2828023314283342,2,False
TLT,DXY,0.022643393704831646,2,True
DXY,Close,0.21829945118673066,1,False
DXY,SPX,0.19013926531455555,5,False
DXY,QQQ,0.02313655592632375,3,True
DXY,VIX,0.006614367959326758,1,True
DXY,GOLD,0.01043646615085869,3,True
DXY,TLT,0.0014298582914524442,3,True
